PIDLResourceType,PidlResourceIdentity,Operation,Scenario,EndpointResourceType,Href,Method,HeaderApi,HeaderCorrelationId,HeaderTrackingId,ErrorCodeExpressions,AllowedContentIdsGroup
address,billing,add,,,https://{pifd-endpoint}/users/{userId}/addresses,POST,,,,,
address,billing,add,,OverrideToV3,https://{jarvis-endpoint}/JarvisCM/{userId}/addresses,POST,2015-03-31,TRUE,TRUE,,
address,billingGroup,add,,,,,,,,({contextData.code}.{contextData.parameters.property_name});({contextData.code}),
address,shipping_v3,add,,,,,,,,,
address,shipping_v3,add,,OverrideToV3,https://{jarvis-endpoint}/JarvisCM/{userId}/addresses,POST,2015-03-31,TRUE,TRUE,,
address,hapiserviceusageaddress,add,,,,,,,,,
address,hapiserviceusageaddress,add,,OverrideToV3,https://{hapi-endpoint}/my-org/orders/{partnerData.prefillData.orderId}/orderservice.updateServiceUsageAddress,POST,,,,,
address,hapiserviceusageaddress,update,,,,,,,,,
address,hapiserviceusageaddress,update,,OverrideToV3,https://{hapi-endpoint}/my-org/orders/{partnerData.prefillData.orderId}/orderservice.updateServiceUsageAddress,POST,,,,,
profile,consumer,add,,,https://{pifd-endpoint}/users/{userId}/profiles,POST,,,,,
profile,consumer,add,,OverrideToV3,https://{jarvis-endpoint}/JarvisCM/{userId}/profiles,POST,2015-03-31,TRUE,TRUE,,
profile,consumer,update,,,,,,,,,
profile,consumer,update,,OverrideToV3,https://{{jarvis-endpoint}}/JarvisCM/{{userId}}/profiles/{0},PUT,2015-03-31,TRUE,TRUE,,
profile,consumerPrerequisites,add,,,https://{pifd-endpoint}/users/{userId}/profiles,POST,,,,,
profile,consumerPrerequisites,add,,OverrideToV3,https://{jarvis-endpoint}/JarvisCM/{userId}/profiles,POST,2015-03-31,TRUE,TRUE,,
profile,consumerPrerequisites,update,,,https://{{pifd-endpoint}}/users/{{userId}}/profiles/{0}/update,POST,,,,,
profile,consumerPrerequisites,update,,OverrideToV3,https://{{jarvis-endpoint}}/JarvisCM/{{userId}}/profiles/{0},PUT,2015-03-31,TRUE,TRUE,,
profile,consumerWallet,add,,,https://{pifd-endpoint}/users/{userId}/profiles,POST,,,,,
profile,consumerWallet,add,,OverrideToV3,https://{jarvis-endpoint}/JarvisCM/{userId}/profiles,POST,2015-03-31,TRUE,TRUE,,
profile,consumerWallet,update,,,,,,,,,
profile,consumerWallet,update,,OverrideToV3,https://{{jarvis-endpoint}}/JarvisCM/{{userId}}/profiles/{0},PUT,2015-03-31,TRUE,TRUE,,
profile,employee,add,,,https://{jarvis-endpoint}/JarvisCM/{userId}/profiles,POST,2015-03-31,TRUE,TRUE,,
profile,employee,update,,,,,,,,,
profile,employee,update,,OverrideToV3,https://{{jarvis-endpoint}}/JarvisCM/{{userId}}/profiles/{0},PUT,2015-03-31,TRUE,TRUE,,
profile,employee,update_patch,,,,,,,,,
profile,employee,update_patch,,OverrideToV3,https://{{jarvis-endpoint}}/JarvisCM/{{userId}}/profiles/{0},PATCH,2015-03-31,TRUE,TRUE,,
profile,employee,update_partial,,,,,,,,,
profile,employee,update_partial,,OverrideToV3,https://{{jarvis-endpoint}}/JarvisCM/{{userId}}/profiles/{0},PUT,2015-03-31,TRUE,TRUE,,
profile,organization,add,,,,,,,,,
profile,organization,add,,OverrideToV3,https://{jarvis-endpoint}/JarvisCM/{userId}/profiles,POST,2015-03-31,TRUE,TRUE,,
profile,organization,update,,,,,,,,,
profile,organization,update,,OverrideToV3,https://{{jarvis-endpoint}}/JarvisCM/{{userId}}/profiles/{0},PUT,2015-03-31,TRUE,TRUE,,
profile,organization,update_patch,,,,,,,,,
profile,organization,update_patch,,OverrideToV3,https://{{jarvis-endpoint}}/JarvisCM/{{userId}}/profiles/{0},PATCH,2015-03-31,TRUE,TRUE,,
profile,organizationDisableTax,update,,,,,,,,,
profile,organizationDisableTax,update,,OverrideToV3,https://{{jarvis-endpoint}}/JarvisCM/{{userId}}/profiles/{0},PUT,2015-03-31,TRUE,TRUE,,
profile,organizationDisableTax,update_patch,,,,,,,,,
profile,organizationDisableTax,update_patch,,OverrideToV3,https://{{jarvis-endpoint}}/JarvisCM/{{userId}}/profiles/{0},PATCH,2015-03-31,TRUE,TRUE,,
profile,legalentityDisableTax,update,,,,,,,,,
profile,legalentityDisableTax,update,,OverrideToV3,https://{{jarvis-endpoint}}/JarvisCM/{{userId}}/profiles/{0},PUT,2015-03-31,TRUE,TRUE,,
profile,legalentity,add,,,https://{hapi-endpoint}/{userId}/customerService/{id}/updateSoldToAddress,PUT,,,,({contextData.code}.{contextData.parameters.property_name});({contextData.code}),
profile,legalentity,update,,,https://{hapi-endpoint}/{userId}/customerService/{id}/updateSoldToAddress,PUT,,,,({contextData.code}.{contextData.parameters.property_name});({contextData.code}),